ID,start_X,start_Y,start_Z,start_node_type,end_X,end_Y,end_Z,end_node_type,Edge_Length,Length_Adjusted_m,LED_Ring_Diameter_m,strip_start_x,strip_start_y,strip_start_z,strip_end_x,strip_end_y,strip_end_z,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID
62,57.302399,10.668000000000006,1.0668,ArtNet,51.206402,16.764001000000007,1.0668,Regular,8.62,7.82,0.80,57.019556,10.950843,1.066800,51.489245,16.481158,1.066800,70,66
63,57.302399,69.49440000000001,1.0668,Regular,51.206402,75.590399,2.7506,ArtNet,8.78,7.98,0.80,57.024802,69.771998,1.143476,51.483999,75.312801,2.673924,63,79
64,63.398399,69.49440100000001,1.0668,ArtNet,57.302399,69.49440000000001,1.0668,Regular,6.10,5.30,0.80,62.998399,69.494401,1.066800,57.702399,69.494400,1.066800,74,79
65,63.398399,41.148,1.0668,ArtNet,57.302399,45.110398,1.0668,Regular,7.27,6.47,0.80,63.063022,41.365995,1.066800,57.637776,44.892403,1.066800,80,76
66,63.398399,22.860001000000004,1.0668,ArtNet,63.398399,16.764001000000007,1.0668,Regular,6.10,5.30,0.80,63.398399,22.460001,1.066800,63.398399,17.164001,1.066800,78,81
67,63.398399,10.668000000000006,1.0668,ArtNet,63.398399,16.764001000000007,1.0668,Regular,6.10,5.30,0.80,63.398399,11.068000,1.066800,63.398399,16.364001,1.066800,82,81
68,63.398399,57.302397000000006,1.0668,ArtNet,69.4944,57.30239900000001,1.0668,Regular,6.10,5.30,0.80,63.798399,57.302397,1.066800,69.094400,57.302399,1.066800,83,84
69,69.4944,75.590399,2.7506,ArtNet,69.4944,69.49440000000001,1.0668,Regular,6.32,5.52,0.80,69.494400,75.204837,2.644102,69.494400,69.879962,1.173298,85,86
70,69.4944,35.051999,1.0668,Regular,69.4944,41.148,1.0668,ArtNet,6.10,5.30,0.80,69.494400,35.451999,1.066800,69.494400,40.748000,1.066800,88,87
71,69.4944,22.860001000000004,1.0668,Regular,75.590408,16.763997000000003,1.0668,ArtNet,8.62,7.82,0.80,69.777243,22.577158,1.066800,75.307565,17.046840,1.066800,90,89
72,69.4944,4.571999000000005,2.7914,ArtNet,72.5424,1.7462000000000018,4.8577,Intercom,4.64,3.84,0.80,69.757064,4.328483,2.969465,72.279736,1.989716,4.679635,91,92
73,69.4944,57.30239900000001,1.0668,Regular,75.590401,57.30239900000001,1.0668,ArtNet,6.10,5.30,0.80,69.894400,57.302399,1.066800,75.190401,57.302399,1.066800,93,84
74,69.4944,41.148,1.0668,ArtNet,69.4944,45.110398,1.0668,ArtNet,3.96,3.16,0.80,69.494400,41.548000,1.066800,69.494400,44.710398,1.066800,94,88
75,69.4944,45.110398,1.0668,ArtNet,75.590401,51.20640100000001,1.0668,Regular,8.62,7.82,0.80,69.777243,45.393241,1.066800,75.307558,50.923558,1.066800,94,95
76,69.4944,63.398398,1.0668,Regular,75.590401,69.49440100000001,1.0668,ArtNet,8.62,7.82,0.80,69.777243,63.681241,1.066800,75.307558,69.211558,1.066800,97,96
77,72.5424,78.4162,4.8577,Intercom,75.590401,75.590399,2.7506,ArtNet,4.66,3.86,0.80,72.804033,78.173640,4.676832,75.328768,75.832959,2.931468,99,98
78,72.5424,1.7462000000000018,4.8577,Intercom,75.590401,4.571999000000005,2.7914,ArtNet,4.64,3.84,0.80,72.805065,1.989716,4.679635,75.327736,4.328483,2.969465,100,92
79,75.590401,75.590399,2.7506,ArtNet,81.686401,69.49440000000001,1.0668,Regular,8.78,7.98,0.80,75.867999,75.312802,2.673924,81.408803,69.771997,1.143476,99,101
80,75.590393,28.955994000000004,1.0668,ArtNet,81.686401,22.860001000000004,1.0668,ArtNet,8.62,7.82,0.80,75.873236,28.673152,1.066800,81.403558,23.142843,1.066800,102,103
81,75.590401,10.668000000000006,1.0668,Regular,75.590408,16.763997000000003,1.0668,ArtNet,6.10,5.30,0.80,75.590401,11.068000,1.066800,75.590408,16.363997,1.066800,90,104
82,75.590401,57.30239900000001,1.0668,ArtNet,69.4944,63.398398,1.0668,Regular,8.62,7.82,0.80,75.307558,57.585242,1.066800,69.777243,63.115555,1.066800,93,96
83,75.590401,51.20640100000001,1.0668,Regular,75.590401,57.30239900000001,1.0668,ArtNet,6.10,5.30,0.80,75.590401,51.606401,1.066800,75.590401,56.902399,1.066800,93,95
84,75.590401,69.49440100000001,1.0668,ArtNet,69.4944,69.49440000000001,1.0668,Regular,6.10,5.30,0.80,75.190401,69.494401,1.066800,69.894400,69.494400,1.066800,97,86
85,81.686401,35.051999,1.0668,Regular,75.590393,28.955994000000004,1.0668,ArtNet,8.62,7.82,0.80,81.403558,34.769156,1.066800,75.873236,29.238837,1.066800,102,105
86,81.686401,69.49440000000001,1.0668,Regular,87.782402,69.49440100000001,1.0668,ArtNet,6.10,5.30,0.80,82.086401,69.494400,1.066800,87.382402,69.494401,1.066800,106,101
87,81.686401,22.860001000000004,1.0668,ArtNet,87.78241,22.860001000000004,1.0668,Regular,6.10,5.30,0.80,82.086401,22.860001,1.066800,87.382410,22.860001,1.066800,103,107
88,81.686401,10.668000000000006,1.0668,Regular,75.590401,4.571999000000005,2.7914,ArtNet,8.79,7.99,0.80,81.409053,10.390652,1.145264,75.867749,4.849347,2.712936,100,108
89,81.686401,51.20640100000001,1.0668,Regular,75.590401,57.30239900000001,1.0668,ArtNet,8.62,7.82,0.80,81.403558,51.489244,1.066800,75.873244,57.019556,1.066800,93,109
90,87.782402,69.49440100000001,1.0668,ArtNet,93.878403,69.49440000000001,1.0668,Regular,6.10,5.30,0.80,88.182402,69.494401,1.066800,93.478403,69.494400,1.066800,106,110
91,87.782402,45.110398,1.0668,ArtNet,81.686401,51.20640100000001,1.0668,Regular,8.62,7.82,0.80,87.499559,45.393241,1.066800,81.969244,50.923558,1.066800,111,109
92,87.782402,41.148,1.0668,ArtNet,93.878403,41.148,1.0668,Regular,6.10,5.30,0.80,88.182402,41.148000,1.066800,93.478403,41.148000,1.066800,112,113
93,87.78241,22.860001000000004,1.0668,Regular,93.878403,22.860001000000004,1.0668,ArtNet,6.10,5.30,0.80,88.182410,22.860001,1.066800,93.478403,22.860001,1.066800,114,107
94,87.782402,10.668000000000006,1.0668,ArtNet,81.686401,10.668000000000006,1.0668,Regular,6.10,5.30,0.80,87.382402,10.668000,1.066800,82.086401,10.668000,1.066800,115,108
95,87.782402,57.302397000000006,1.0668,ArtNet,93.878403,57.30239900000001,1.0668,Regular,6.10,5.30,0.80,88.182402,57.302397,1.066800,93.478403,57.302399,1.066800,116,117
96,93.878403,69.49440000000001,1.0668,Regular,93.878403,63.398398,1.0668,ArtNet,6.10,5.30,0.80,93.878403,69.094400,1.066800,93.878403,63.798398,1.066800,118,110
97,93.878403,63.398398,1.0668,ArtNet,99.974403,57.30239900000001,2.8096,ArtNet,8.80,8.00,0.80,94.155638,63.121163,1.146059,99.697168,57.579634,2.730341,119,118
98,93.878403,51.20640100000001,1.0668,ArtNet,93.878403,57.30239900000001,1.0668,Regular,6.10,5.30,0.80,93.878403,51.606401,1.066800,93.878403,56.902399,1.066800,120,117
99,93.878403,22.860001000000004,1.0668,ArtNet,99.974403,28.955998000000008,2.8096,ArtNet,8.80,8.00,0.80,94.155638,23.137235,1.146059,99.697168,28.678764,2.730341,121,114
