Edge ID,Edge Length,Start X,Start Y,Start Z,End X,End Y,End Z,Data Flow Start Node ID,Data Flow End Node ID,Type
185,6.10,57.3,45.11,0.0,63.4,45.11,0.0,81,140,Normal
186,8.62,69.49,39.01,0.0,63.4,45.11,0.0,78,140,Normal
187,8.63,69.49,39.01,0.0,75.59,45.11,0.0,78,141,Normal
188,6.10,81.69,45.11,0.0,75.59,45.11,0.0,103,141,Normal
189,3.39,4.57,57.3,0.0,2.8,60.19,0.0,100,142,Intercom
190,8.63,4.57,57.3,0.0,10.67,63.4,0.0,100,143,Normal
191,8.62,10.67,63.4,0.0,16.76,57.3,0.0,144,143,Normal
192,8.63,16.76,57.3,0.0,22.86,63.4,0.0,144,145,Normal
193,6.10,28.96,63.4,0.0,22.86,63.4,0.0,28,145,Normal
194,6.09,28.96,63.4,0.0,35.05,63.4,0.0,28,146,Normal
195,8.63,41.15,57.3,0.0,35.05,63.4,0.0,29,146,Normal
196,7.28,51.21,63.4,0.0,47.24,57.3,0.0,33,53,Normal
197,8.62,51.21,63.4,0.0,57.3,57.3,0.0,33,51,Normal
198,6.09,63.4,57.3,0.0,69.49,57.3,0.0,50,147,Normal
199,8.63,75.59,63.4,0.0,69.49,57.3,0.0,38,147,Normal
200,6.10,75.59,63.4,0.0,81.69,63.4,0.0,38,102,Normal
201,6.09,81.69,63.4,0.0,87.78,63.4,0.0,148,102,Normal
202,8.63,87.78,63.4,0.0,93.88,57.3,0.0,148,149,Normal
203,6.09,93.88,57.3,0.0,99.97,57.3,0.0,150,149,Normal
204,5.15,99.97,57.3,0.0,103.1,61.39,0.0,150,151,Intercom
205,3.85,99.97,22.86,0.0,103.1,20.61,0.0,91,152,Intercom
206,3.77,99.97,45.11,0.0,103.1,43.0,0.0,106,153,Intercom
207,6.10,75.59,75.59,0.0,81.69,75.59,0.0,101,40,Normal
