ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Edge_Length,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID,Type
81,75.590401,10.668000000000006,1.0668,75.590408,16.763997000000003,1.0668,6.10,90,104,Normal
82,75.590401,57.30239900000001,1.0668,69.4944,63.398398,1.0668,8.62,93,96,Normal
83,75.590401,51.20640100000001,1.0668,75.590401,57.30239900000001,1.0668,6.10,93,95,Normal
84,75.590401,69.49440100000001,1.0668,69.4944,69.49440000000001,1.0668,6.10,97,86,Normal
85,81.686401,35.051999,1.0668,75.590393,28.955994000000004,1.0668,8.62,102,105,Normal
86,81.686401,69.49440000000001,1.0668,87.782402,69.49440100000001,1.0668,6.10,106,101,Normal
87,81.686401,22.860001000000004,1.0668,87.78241,22.860001000000004,1.0668,6.10,103,107,Normal
88,81.686401,10.668000000000006,1.0668,75.590401,4.571999000000005,2.7914,8.79,100,108,Normal
89,81.686401,51.20640100000001,1.0668,75.590401,57.30239900000001,1.0668,8.62,93,109,Normal
90,87.782402,69.49440100000001,1.0668,93.878403,69.49440000000001,1.0668,6.10,106,110,Normal
91,87.782402,45.110398,1.0668,81.686401,51.20640100000001,1.0668,8.62,111,109,Normal
92,87.782402,41.148,1.0668,93.878403,41.148,1.0668,6.10,112,113,Normal
93,87.78241,22.860001000000004,1.0668,93.878403,22.860001000000004,1.0668,6.10,114,107,Normal
94,87.782402,10.668000000000006,1.0668,81.686401,10.668000000000006,1.0668,6.10,115,108,Normal
95,87.782402,57.302397000000006,1.0668,93.878403,57.30239900000001,1.0668,6.10,116,117,Normal
96,93.878403,69.49440000000001,1.0668,93.878403,63.398398,1.0668,6.10,118,110,Normal
97,93.878403,63.398398,1.0668,99.974403,57.30239900000001,2.8096,8.80,119,118,Normal
98,93.878403,51.20640100000001,1.0668,93.878403,57.30239900000001,1.0668,6.10,120,117,Normal
99,93.878403,22.860001000000004,1.0668,99.974403,28.955998000000008,2.8096,8.80,121,114,Normal
100,93.878403,16.764001000000007,1.0668,87.782402,10.668000000000006,1.0668,8.62,115,122,Normal
101,93.878403,41.148,1.0668,93.878403,35.051999,1.0668,6.10,123,113,Normal
102,93.878403,35.051999,1.0668,99.974403,28.955998000000008,2.8096,8.80,123,121,Normal
103,99.974403,57.30239900000001,2.8096,102.8002,54.254400000000004,4.8577,4.63,119,124,Intercom
104,99.974403,51.20640100000001,2.8096,93.878403,51.20640100000001,1.0668,6.34,125,120,Normal
105,99.974403,28.955998000000008,2.8096,102.8001,25.90800000000001,4.8577,4.63,121,126,Intercom
106,102.8002,54.254400000000004,4.8577,99.974403,51.20640100000001,2.8096,4.63,125,124,Intercom
107,4.571999,16.764001000000007,2.8925,10.667999,16.764001000000007,1.0668,6.36,11,5,Normal
108,4.571999,69.494399,2.8925,10.667999,63.39840000000001,1.0668,8.81,14,8,Normal
