ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Edge_Length
73,69.494400,22.860001,1.066800,75.590401,22.860001,1.066800,6.096001
74,69.494400,39.014400,1.066800,69.494400,35.052002,1.066800,3.962399
75,69.494400,35.052002,1.066800,75.590401,28.955999,1.066800,8.621048
76,69.494400,16.764002,1.066800,75.590401,10.667999,1.066800,8.621048
77,72.542400,1.746200,4.857700,75.590401,4.572001,2.750600,4.659971
78,72.542400,78.416200,4.857700,75.590401,75.590401,2.791400,4.641664
79,75.590401,4.572001,2.750600,81.686401,10.668000,1.066800,8.783941
80,75.590393,51.206406,1.066800,81.686401,57.302399,1.066800,8.621047
81,75.590401,69.494400,1.066800,75.590408,63.398403,1.066800,6.095997
82,75.590401,22.860001,1.066800,69.494400,16.764002,1.066800,8.621045
83,75.590401,28.955999,1.066800,75.590401,22.860001,1.066800,6.095999
84,75.590401,10.667999,1.066800,69.494400,10.668000,1.066800,6.096001
85,81.686401,45.110401,1.066800,75.590393,51.206406,1.066800,8.621055
86,81.686401,10.668000,1.066800,87.782402,10.667999,1.066800,6.096001
87,81.686401,57.302399,1.066800,87.782410,57.302399,1.066800,6.096008
88,81.686401,69.494400,1.066800,75.590401,75.590401,2.791400,8.791854
89,81.686401,28.955999,1.066800,75.590401,22.860001,1.066800,8.621045
90,87.782402,10.667999,1.066800,93.878403,10.668000,1.066800,6.096001
91,87.782402,35.052002,1.066800,81.686401,28.955999,1.066800,8.621048
92,87.782402,39.014400,1.066800,93.878403,39.014400,1.066800,6.096001
93,87.782410,57.302399,1.066800,93.878403,57.302399,1.066800,6.095993
94,87.782402,69.494400,1.066800,81.686401,69.494400,1.066800,6.096001
95,87.782402,22.860003,1.066800,93.878403,22.860001,1.066800,6.096001
96,93.878403,10.668000,1.066800,93.878403,16.764002,1.066800,6.096002
97,93.878403,16.764002,1.066800,99.974403,22.860001,2.809600,8.795441
98,93.878403,28.955999,1.066800,93.878403,22.860001,1.066800,6.095999
99,93.878403,57.302399,1.066800,99.974403,51.206402,2.809600,8.795439
100,93.878403,63.398399,1.066800,87.782402,69.494400,1.066800,8.621047
101,93.878403,39.014400,1.066800,93.878403,45.110401,1.066800,6.096001
102,93.878403,45.110401,1.066800,99.974403,51.206402,2.809600,8.795442
103,99.974403,22.860001,2.809600,102.800200,25.908000,4.857700,4.633588
104,99.974403,28.955999,2.809600,93.878403,28.955999,1.066800,6.340235
105,99.974403,51.206402,2.809600,102.800100,54.254400,4.857700,4.633527
106,102.800200,25.908000,4.857700,99.974403,28.955999,2.809600,4.633588
107,4.571999,63.398399,2.892500,10.667999,63.398399,1.066800,6.363521
108,4.571999,10.668001,2.892500,10.667999,16.764000,1.066800,8.812242
109,4.572006,51.206398,2.892500,10.667999,57.302399,1.066800,8.812238
110,4.572006,51.206398,2.892500,10.668007,45.110401,1.066800,8.812240
