ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Edge_Length,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID,Type
82,75.5904,57.302400000000006,1.0668,69.4944,63.39840000000001,1.0668,8.62,93,96,Normal
83,75.5904,51.2064,1.0668,75.5904,57.302400000000006,1.0668,6.10,93,95,Normal
84,75.5904,69.49440000000001,1.0668,69.4944,69.49440000000001,1.0668,6.10,97,86,Normal
85,81.4719,34.8132,1.0668,75.5904,28.956000000000003,1.0668,8.30,102,105,Normal
86,81.6864,69.49440000000001,1.0668,87.7824,69.49440000000001,1.0668,6.10,106,101,Normal
87,81.6864,22.860000000000007,1.0668,87.7824,22.860000000000007,1.0668,6.10,103,107,Normal
88,81.6864,10.668000000000006,1.0668,75.5904,4.5745000000000005,2.7914,8.79,100,108,Normal
89,81.6864,51.2064,1.0668,75.5904,57.302400000000006,1.0668,8.62,93,109,Normal
90,87.7824,69.49440000000001,1.0668,93.8784,69.49440000000001,1.0668,6.10,106,110,Normal
91,87.7824,45.110400000000006,1.0668,81.6864,51.2064,1.0668,8.62,111,109,Normal
92,87.7824,41.148,1.0668,93.8784,41.148,1.0668,6.10,112,113,Normal
93,87.7824,22.860000000000007,1.0668,93.8784,22.860000000000007,1.0668,6.10,114,107,Normal
94,87.7824,10.668000000000006,1.0668,81.6864,10.668000000000006,1.0668,6.10,115,108,Normal
95,87.7824,57.302400000000006,1.0668,93.8784,57.302400000000006,1.0668,6.10,116,117,Normal
96,93.8784,69.49440000000001,1.0668,93.8784,63.39840000000001,1.0668,6.10,118,110,Normal
97,93.8784,63.39840000000001,1.0668,99.9719,57.302400000000006,2.8096,8.79,119,118,Normal
98,93.8784,51.2064,1.0668,93.8784,57.302400000000006,1.0668,6.10,120,117,Normal
99,93.8784,22.860000000000007,1.0668,99.9719,28.956000000000003,2.8096,8.79,121,114,Normal
100,93.8784,16.764000000000003,1.0668,87.7824,10.668000000000006,1.0668,8.62,115,122,Normal
101,93.8784,41.148,1.0668,93.8784,35.05200000000001,1.0668,6.10,113,123,Normal
102,93.8784,35.05200000000001,1.0668,99.9719,28.956000000000003,2.8096,8.79,121,123,Normal
103,99.9719,57.302400000000006,2.8096,102.8002,54.254400000000004,4.8577,4.64,119,124,Intercom
104,99.9719,51.2064,2.8096,93.8784,51.2064,1.0668,6.34,125,120,Normal
105,99.9719,28.956000000000003,2.8096,102.8001,25.90800000000001,4.8577,4.64,121,126,Intercom
106,102.8002,54.254400000000004,4.8577,99.9719,51.2064,2.8096,4.64,125,124,Intercom
107,4.5745,16.764000000000003,2.8925,10.668,16.764000000000003,1.0668,6.36,11,5,Normal
108,4.5745,69.49440000000001,2.8925,10.668,63.39840000000001,1.0668,8.81,14,8,Normal
109,4.5745,28.956000000000003,2.8925,10.668,22.860000000000007,1.0668,8.81,2,12,Normal
110,4.5745,28.956000000000003,2.8925,10.668,35.05200000000001,1.0668,8.81,18,2,Normal
111,10.668,16.764000000000003,1.0668,16.764,10.668000000000006,1.0668,8.62,11,13,Normal
112,10.668,57.302400000000006,1.0668,16.764,51.2064,1.0668,8.62,23,15,Normal
113,16.764,69.49440000000001,1.0668,22.86,69.49440000000001,1.0668,6.10,22,21,Normal
