Pillar,px,py,pz
38,51.2064018249512,22.8600006103516,0.457199990749359
39,57.3023986816406,22.8600006103516,0.457199990749359
40,93.8784027099609,22.8600006103516,0.457199990749359
41,75.5904006958008,22.8600006103516,0.457199990749359
42,87.7824020385742,22.8600025177002,0.457199990749359
43,81.6864013671875,22.8600006103516,0.457199990749359
44,63.3983993530273,22.8600025177002,0.457199990749359
45,47.2439994812012,22.8600006103516,0.457199990749359
46,10.6679992675781,22.8600025177002,0.457199990749359
47,28.9560012817383,28.9559993743897,0.457199990749359
48,35.0520095825195,28.9559993743897,0.457199990749359
49,16.7639999389648,28.9559993743897,0.457199990749359
50,41.1480026245117,28.9559993743897,0.457199990749359
51,22.8600006103516,28.9559993743897,0.457199990749359
52,63.3984031677246,28.9560012817383,0.457199990749359
53,69.4944000244141,28.9559993743897,0.457199990749359
54,10.6679992675781,28.9560012817383,0.457199990749359
55,75.5904006958008,28.9559993743897,0.457199990749359
56,93.8784027099609,28.9559993743897,0.457199990749359
57,57.3024024963379,28.9559993743897,0.457199990749359
58,81.6864013671875,28.9559993743897,0.457199990749359
59,87.7824020385742,28.9560012817383,0.457199990749359
60,51.2064056396484,28.9559993743897,0.457199990749359
61,47.2440032958984,28.9559993743897,0.457199990749359
62,69.4944000244141,35.052001953125,0.457199990749359
63,35.0520057678223,35.0519981384277,0.457199990749359
64,93.8784027099609,35.052001953125,0.457199990749359
65,41.1479988098145,35.052001953125,0.457199990749359
66,81.6864013671875,35.0519981384277,0.457199990749359
67,28.9560012817383,35.0519981384277,0.457199990749359
68,47.2439994812012,35.052001953125,0.457199990749359
69,87.7824020385742,35.052001953125,0.457199990749359
70,16.7639999389648,35.052001953125,0.457199990749359
71,10.6680068969727,35.052001953125,0.457199990749359
72,63.3983993530273,35.052001953125,0.457199990749359
73,22.8600006103516,35.052001953125,0.457199990749359
74,75.5904006958008,35.052001953125,0.457199990749359
75,51.2064018249512,35.052001953125,0.457199990749359
76,57.3023986816406,35.052001953125,0.457199990749359
77,93.8784027099609,57.3023986816406,0.457199990749359
78,41.1479988098145,57.3023986816406,0.457199990749359
79,10.6680068969727,39.0144004821777,0.457199990749359
80,35.0520057678223,63.3983993530273,0.457199990749359
81,10.6679992675781,63.3983993530273,0.457199990749359
82,63.3983993530273,63.3983993530273,0.457199990749359
83,87.7824020385742,63.3983993530273,0.457199990749359
84,16.7639999389648,63.3983993530273,0.457199990749359
85,47.2439994812012,63.3983993530273,0.457199990749359
86,81.6864013671875,63.3983993530273,0.457199990749359
87,28.9559936523438,63.3983993530273,0.457199990749359
88,41.1479988098145,63.3983993530273,0.457199990749359
89,57.3023986816406,63.3983993530273,0.457199990749359
90,93.8784027099609,63.3983993530273,0.457199990749359
91,69.4944000244141,63.3983993530273,0.457199990749359
92,28.9559936523438,57.3023986816406,0.457199990749359
93,35.0520057678223,57.3023986816406,0.457199990749359
94,22.8600006103516,57.3023986816406,0.457199990749359
95,16.7639923095703,57.3023986816406,0.457199990749359
96,75.5904083251953,63.3984031677246,0.457199990749359
97,22.8600006103516,63.3983993530273,0.457199990749359
98,57.3023986816406,57.3023986816406,0.457199990749359
99,81.6864013671875,57.3023986816406,0.457199990749359
100,87.7824096679688,57.3023986816406,0.457199990749359
101,47.2439994812012,51.2064018249512,0.457199990749359
102,51.2064018249512,57.3023986816406,0.457199990749359
103,47.2439994812012,57.3023986816406,0.457199990749359
104,69.4944000244141,39.0144004821777,0.457199990749359
105,63.3983993530273,39.0144004821777,0.457199990749359
106,81.6864013671875,39.0144004821777,0.457199990749359
107,87.7824020385742,39.0144004821777,0.457199990749359
108,75.5904006958008,39.014404296875,0.457199990749359
109,93.8784027099609,39.0144004821777,0.457199990749359
110,57.3023986816406,39.0144004821777,0.457199990749359
111,51.2064018249512,39.0144004821777,0.457199990749359
112,47.2439994812012,39.0144004821777,0.457199990749359
113,35.0520057678223,39.0144004821777,0.457199990749359
114,16.7639999389648,39.0144004821777,0.457199990749359
115,41.1479988098145,39.0144004821777,0.457199990749359
116,10.6680068969727,45.1104011535645,0.457199990749359
117,28.9560012817383,39.0144004821777,0.457199990749359
118,22.8600006103516,39.0144004821777,0.457199990749359
119,81.6864013671875,45.1104011535645,0.457199990749359
120,69.4944000244141,45.1104011535645,0.457199990749359
121,63.3983993530273,45.1104011535645,0.457199990749359
122,87.7824020385742,45.1104011535645,0.457199990749359
123,75.5903930664063,45.1104049682617,0.457199990749359
124,93.8784027099609,45.1104011535645,0.457199990749359
125,57.3023986816406,45.1104011535645,0.457199990749359
126,51.2064018249512,45.1104011535645,0.457199990749359
127,47.2439994812012,45.1104011535645,0.457199990749359
128,35.0520057678223,45.1104011535645,0.457199990749359
129,16.7639999389648,45.1104011535645,0.457199990749359
